title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
#blackAF,TV,2020,TV-MA,UltraHD,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton",,,6.6,,81056700,2020-04-17,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",1,english
#cats_the_mewvie,TV,2020,TV-14,SuperHD,,Michael Margolis,,5.2,89,81218137,2020-02-05,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",0,english
#realityhigh,TV,2017,TV-14,UltraHD,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers",Fernando Lebrija,,5.2,99,80125979,2017-09-08,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",1,english
#Rucker50,TV,2016,TV-G,SuperHD,,Robert McCullough Jr.,,5.3,56,80147908,2016-12-01,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,0,english
#Selfie,TV,2014,TV-MA,SuperHD,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Sali Levent",Cristina Jacob,,6.1,125,81092768,2019-06-01,"Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",0,other
#Selfie 69,TV,2016,TV-MA,SuperHD,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda",Cristina Jacob,,6.3,118,81092766,2019-06-01,"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",0,other
(Un)Well ,TV,2020–,TV-MA,,N/A,N/A,"Documentary, Reality-TV",,N/A,81044208,2020-08-12,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",0,english
01-Oct,TV,2014,TV-14,SuperHD,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole",Kunle Afolayan,,6.5,148,80032842,2019-09-01,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",0,english
09-Feb,TV,2018,TV-14,SuperHD,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari",,,,,81049315,2019-03-20,"As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",0,arabic
10 Days in Sun City,TV,2017,TV-14,SuperHD,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson",Adze Ugah,,5.2,87,81172729,2019-10-18,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",0,english
